GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM3331489,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,34920059,25262741,0.078,42496,0.9415
GSM3331490,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,34183979,24904838,0.1,47226,0.9381
GSM3331491,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,33122918,23766698,0.059,34493,0.9477
GSM3331492,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,33897947,24351766,0.059,34688,0.9467
GSM3331493,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,38507267,27808985,0.032,22066,0.9428
GSM3331494,GSE112136,mESC,30996347,4/18/19,Embryonic Stem Cell,,30647029,22235108,0.027,17839,0.9452
GSM3380966,GSE119697,mESC,30676316,1/31/19,Embryonic Stem Cell,,42906988,30438053,0.209,68566,0.8854
GSM3386197,GSE119874,embryoid_bodies,29090280;30940539,1/1/19,Embryoid Bodies,,43900248,32032331,0.248,73997,0.7245
GSM3399691,GSE120393,E14,32094912,1/7/20,Embryonic Stem Cell,,42028942,27494238,0.087,43516,0.9369
GSM3399692,GSE120393,E14,32094912,1/7/20,Embryonic Stem Cell,,24389750,14947097,0.108,38315,0.9417
GSM3432416,GSE121355,CH12,31402173,8/1/19,B Lymphocyte,B-cell Lymphoma,38256578,24069014,0.101,43120,0.9272
GSM3432417,GSE121355,CH12,31402173,8/1/19,B Lymphocyte,B-cell Lymphoma,28709004,19233908,0.104,41083,0.9286
GSM3432431,GSE121355,CH12,31402173,8/1/19,B Lymphocyte,B-cell Lymphoma,35694333,23906618,0.084,38642,0.9362
GSM3432432,GSE121355,CH12,31402173,8/1/19,B Lymphocyte,B-cell Lymphoma,28132451,18838781,0.032,20885,0.9574
GSM3453046,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,58841998,39479887,0.072,29668,0.9178
GSM3453048,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,85076530,52533465,0.057,24883,0.9322
GSM3453050,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,52219508,35372052,0.064,25726,0.936
GSM3453052,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,53351580,35601687,0.085,33002,0.9027
GSM3453054,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,52696364,34127010,0.076,27604,0.9027
GSM3453056,GSE122019,MEF,30604745,11/7/18,Embryonic Fibroblast,,30315052,20238839,0.049,18464,0.9412
GSM3495175,GSE123101,mESC,31404833,8/8/19,Embryonic Stem Cell,,56421007,40926731,0.067,41537,0.8803
GSM3495176,GSE123101,mESC,31404833,8/8/19,Embryonic Stem Cell,,51397010,36838108,0.074,41445,0.9199
GSM3495183,GSE123101,mESC,31404833,8/8/19,Embryonic Stem Cell,,67445210,47695760,0.086,49429,0.8966
GSM3495184,GSE123101,mESC,31404833,8/8/19,Embryonic Stem Cell,,69921164,50316006,0.101,55927,0.8644
GSM3498276,GSE123209,naive_CD4+_T_cells,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,34266131,19219940,0.359,64350,0.8207
GSM3498277,GSE123209,naive_CD4+_T_cells,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,33086244,17862373,0.356,60508,0.8477
GSM3498278,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,28340906,17998653,0.352,73226,0.8336
GSM3498279,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,30687290,17031108,0.372,74878,0.8367
GSM3498280,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,10585473,4867820,0.445,54251,0.9432
GSM3498281,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,25522379,15791724,0.46,79686,0.8132
GSM3498282,GSE123209,naive_CD4+_T_cells,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,22188786,12614235,0.467,58877,0.7996
GSM3498283,GSE123209,naive_CD4+_T_cells,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,18510493,7195633,0.469,34032,0.707
GSM3498284,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,19871790,11593509,0.497,69595,0.7704
GSM3498285,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,30472294,23538830,0.307,67578,0.8738
GSM3498286,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,20632263,10767248,0.546,62075,0.6744
GSM3498287,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,21369205,16977359,0.236,50326,0.8984
GSM3498288,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,25440162,19349922,0.207,41771,0.8949
GSM3498289,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,25778731,19710812,0.204,41876,0.897
GSM3498290,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,27666538,19003292,0.087,30508,0.8983
GSM3498291,GSE123209,activated_CD4+_T_cell,31665634;36917143,11/4/19,"Spleen, Lymph Nodes",,29673725,20941529,0.162,41244,0.894
